listing_date;title;company;location;work_type;link
23-Oct-24 10:41;Business Intelligence Intern;JALA;Yogyakarta;internship;https://dealls.com/loker/business-intelligence-intern~jala
11-Aug-23 04:52;BUSINESS INTELLIGENCE (BI) SPESIALIST;PT Fastrata Buana (Kapal Api Group);Jakarta Timur;fullTime;https://dealls.com/loker/business-intelligence-bi-spesialist~pt-fastrata-buana-kapal-api-group
22-Apr-24 09:21;Business Intelligence Specialist;Wings Group Indonesia (Sayap Mas Utama);Jakarta Timur;fullTime;https://dealls.com/loker/business-intelligence-specialist~wings-group-indonesia-sayap-mas-utama
