listing_date;title;company;location;work_type;link
02-Oct-24 12:00;Senior Manager - Enterprise Security - OT Security - JKT;Deloitte;Jakarta;Full time;https://www.jobstreet.co.id/job/79242905
02-Oct-24 09:11;Junior Compliance Analyst;Cambridge Mercantile Australia Pty Ltd;Jakarta;Full time;https://www.jobstreet.co.id/job/79205268
03-Oct-24 01:56;Risk Control Unit Specialist;PT CIMB Niaga Auto Finance;South Tangerang;Full time;https://www.jobstreet.co.id/job/79249329
03-Oct-24 02:12;Junior Technical Account Executive;PT Quintal Edutama Solusindo;West Jakarta;Full time;https://www.jobstreet.co.id/job/79249715
02-Oct-24 08:03;IT Infrastructure Network Security Section Head;PT Smart Multi Finance;Tangerang;Full time;https://www.jobstreet.co.id/job/79233969
02-Oct-24 12:00;SR&T Consultant, M&A Transaction Diligence, Execution & Reporting;Deloitte;Jakarta;Full time;https://www.jobstreet.co.id/job/79242751
02-Oct-24 07:38;IT SENIOR NETWORK SECURITY;PT Griya Mitra Persada;Central Jakarta;Full time;https://www.jobstreet.co.id/job/79233365
02-Oct-24 03:18;IT System Analyst;PT Astra Otoparts Tbk;Karawang;Full time;https://www.jobstreet.co.id/job/79223544
02-Oct-24 07:39;IT System Support (JS - IT SS);OTO Group;Jakarta;Full time;https://www.jobstreet.co.id/job/79233401
03-Oct-24 02:38;IT Project Manager;Trans Retail Group;South Jakarta;Full time;https://www.jobstreet.co.id/job/79250725
02-Oct-24 08:18;SDET;PT Inovasi Daya Solusi;South Jakarta;Full time;https://www.jobstreet.co.id/job/79234284
02-Oct-24 12:01;Head Of IT;PT. Fidac Inovasi Technology;Jakarta;Full time;https://www.jobstreet.co.id/job/79238465
01-Oct-24 10:07;Pentester Specialist;PT CIMB Niaga Auto Finance;South Tangerang;Full time;https://www.jobstreet.co.id/job/79209752
01-Oct-24 08:33;Enterprise Risk Management and KYC Assistant Manager;Hanwha Life Insurance Indonesia;Jakarta;Full time;https://www.jobstreet.co.id/job/79206988
01-Oct-24 04:04;IT Deployment & Asset Management Section Head;Yayasan Bina Nusantara;Jakarta;Full time;https://www.jobstreet.co.id/job/79198900
02-Oct-24 02:39;System Analyst;PT Ako Media Asia;West Jakarta;Full time;https://www.jobstreet.co.id/job/79222044
02-Oct-24 02:08;Risk Analyst Supervisor;Private Advertiser;Jakarta;Casual/Vacation;https://www.jobstreet.co.id/job/79220975
01-Oct-24 07:59;IT Support, HSE Officer, Admin Warehouse dan Resepsionis;OSCT Indonesia;Cikarang;Contract/Temp;https://www.jobstreet.co.id/job/79206318
01-Oct-24 07:33;IT Technical Consultant (Application Support);PT Buana Finance Tbk;Jakarta;Full time;https://www.jobstreet.co.id/job/79205784
01-Oct-24 07:46;Transaction Monitoring Dept Head;PT. PERSOLKELLY Recruitment Indonesia;South Tangerang;Full time;https://www.jobstreet.co.id/job/79206076
01-Oct-24 07:16;IT System Admin Section Head;PT Mandiri Tunas Finance;Central Jakarta;Full time;https://www.jobstreet.co.id/job/79205354
01-Oct-24 11:18;Cloud Operation Manager (Project Based);PT Era Awan Digital;Central Jakarta;Contract/Temp;https://www.jobstreet.co.id/job/79210296
01-Oct-24 04:02;IT Project Management Support Officer;Yayasan Bina Nusantara;Jakarta;Full time;https://www.jobstreet.co.id/job/79198849
01-Oct-24 07:30;IT Admin;PT PEFINDO Biro Kredit;South Jakarta;Contract/Temp;https://www.jobstreet.co.id/job/79205669
01-Oct-24 08:44;Digital Devops Analyst;PT Tripatra Engineers & Constructors;South Tangerang;Contract/Temp;https://www.jobstreet.co.id/job/79207189
01-Oct-24 04:02;IT Project Manager;PT Peoplyee Tech Indonesia;Jakarta;Full time;https://www.jobstreet.co.id/job/79198833
01-Oct-24 03:51;Cyber Security Officer;Yayasan Bina Nusantara;West Jakarta;Full time;https://www.jobstreet.co.id/job/79198555
